place_type	num_places	without_pop	with_pop	percentile_1st	percentile_5th	percentile_50th	percentile_95th	percentile_99th
sea	91	91	0			
state	1656	1312	344	9035	60925	999685	7918293	26553000
province	38	37	1	5000000	5000000	5000000	5000000	5000000
city	7615	3823	3792	5000	16449	131000	1606000	7044118
town	74429	48297	26132	336	1158	12560	63296	111000
borough	53	32	21	304	332	1344	6091	620416
suburb	81667	76783	4884	20	124	1822	45028	226948
quarter	2028	2009	19	22	22	1000	23000	23000
village	892259	699435	192824	0	16	445	5000	8447
hamlet	862145	786773	75372	0	2	34	365	1078
neighbourhood	62019	61256	763	5	34	1906	16167	57503
locality	1011854	1008125	3729	0	0	0	324	1349
isolated_dwelling	169354	165974	3380	0	0	2	19	122
farm	28476	28447	29	0	1	16	29	35
