x	Sin(x)
0	0
0,05	0,049979169
0,1	0,099833417
0,15	0,149438132
0,2	0,198669331
0,25	0,247403959
0,3	0,295520207
0,35	
0,4	0,389418342
0,45	0,434965534
0,5	0,479425539
0,55	0,522687229
0,6	0,564642473
0,65	0,605186406
0,7	0,644217687
0,75	0,68163876
0,8	0,717356091
0,85	0,751280405
0,9	0,78332691
0,95	
1	0,841470985
1,05	0,867423226
1,1	0,89120736
1,15	0,91276394
1,2	0,932039086
1,25	
1,3	0,963558185
1,35	0,975723358
1,4	0,98544973
1,45	0,992712991
1,5	0,997494987
1,55	0,999783764
1,6	0,999573603
1,65	0,996865028
1,7	0,99166481
1,75	0,983985947
1,8	0,973847631
1,85	0,961275203
1,9	0,946300088
1,95	0,928959715
2	0,909297427
2,05	0,887362369
2,1	0,863209367
2,15	0,836898791
2,2	0,808496404
2,25	0,778073197
2,3	0,745705212
2,35	0,711473353
2,4	0,675463181
2,45	0,637764702
2,5	0,598472144
2,55	0,557683717
2,6	0,515501372
2,65	
2,7	0,42737988
2,75	0,381660992
2,8	0,33498815
2,85	0,287478012
2,9	0,239249329
2,95	0,190422647
3	0,141120008
3,05	0,091464642
3,1	0,041580662
3,15	-0,008407247
3,2	-0,058374143
3,25	-0,108195135
3,3	-0,157745694
3,35	-0,206901972
3,4	-0,255541102
3,45	-0,303541513
3,5	-0,350783228
3,55	-0,397148167
3,6	-0,442520443
3,65	
3,7	-0,529836141
3,75	-0,571561319
3,8	-0,611857891
3,85	-0,650625137
3,9	-0,687766159
3,95	-0,723188124
4	-0,756802495
4,05	-0,788525254
4,1	-0,818277111
4,15	-0,845983701
4,2	-0,871575772
4,25	-0,894989358
4,3	-0,916165937
4,35	-0,935052578
4,4	-0,951602074
4,45	-0,965773061
4,5	-0,977530118
4,55	-0,986843859
4,6	-0,993691004
4,65	-0,998054439
4,7	-0,999923258
4,75	-0,999292789
4,8	-0,996164609
4,85	-0,990546536
4,9	
4,95	-0,971903069
5	-0,958924275
5,05	-0,943548669
5,1	-0,925814682
5,15	-0,905766641
5,2	-0,883454656
5,25	-0,858934493
5,3	-0,832267442
5,35	-0,803520156
5,4	-0,772764488
5,45	-0,74007731
5,5	-0,705540326
5,55	-0,669239857
5,6	-0,631266638
5,65	-0,591715581
5,7	-0,550685543
5,75	-0,508279077
5,8	-0,464602179
5,85	-0,419764018
5,9	-0,373876665
5,95	-0,327054815
6	-0,279415498
6,05	-0,231077788
6,1	-0,182162504
6,15	-0,132791909
6,2	-0,083089403
6,25	-0,033179217
6,3	0,0168139
6,35	0,066764992
6,4	0,116549205
6,45	
6,5	0,215119988
6,55	0,263660182
6,6	0,311541364
6,65	0,358643853
6,7	0,404849921
6,75	0,450044074
6,8	0,494113351
6,85	0,536947602
6,9	0,578439764
6,95	0,618486128
7	0,656986599
7,05	0,693844945
7,1	0,72896904
7,15	0,762271092
7,2	0,793667864
7,25	0,823080879
7,3	0,850436621
7,35	0,875666714
7,4	0,898708096
7,45	0,919503176
7,5	0,937999977
7,55	0,954152266
7,6	0,967919672
7,65	0,979267783
7,7	
7,75	0,994598779
7,8	0,998543345
7,85	0,999992073
7,9	0,998941342
7,95	0,995393777
8	0,989358247
8,05	0,980849836
8,1	0,969889811
8,15	0,956505567
8,2	0,940730557
8,25	0,92260421
8,3	0,902171834
8,35	0,879484498
8,4	0,854598908
8,45	0,827577266
8,5	0,798487113
8,55	0,767401157
8,6	0,734397098
8,65	0,699557429
8,7	0,66296923
8,75	0,624723954
8,8	0,584917193
8,85	0,543648444
8,9	
8,95	0,457140978
9	0,412118485
9,05	0,366065911
9,1	0,319098362
9,15	0,271333234
9,2	0,222889914
9,25	0,173889485
9,3	0,124454424
9,35	0,07470829
9,4	0,024775425
9,45	-0,025219365
9,5	-0,07515112
9,55	-0,124895037
9,6	-0,174326781
9,65	-0,223322799
9,7	-0,271760626
9,75	
9,8	-0,366479129
9,85	-0,412523058
9,9	
9,95	-0,501405128
10	-0,544021111
