Субъект	Численность	Удельный вес городского населения	Изменение численности	Среднегодовая численность занятых	Среднедушевой доход
Москва	13010112	98.7	0.4	11000000	54000
Московская область	8524665	77.5	0.3	4700000	43000
Краснодарский край	5838273	57.2	-0.1	3300000	38000
Санкт-Петербург	5601911	100	0.2	5000000	52000
Свердловская область	4222695	86.3	0.0	2000000	39000
Ростовская область	4152518	68.4	-0.2	1800000	35000
Республика Башкортостан	4046094	62.5	0.2	2200000	34000
Республика Татарстан	3902781	76.0	0.3	2000000	36000
Новосибирская область	2786540	75.3	0.1	1500000	35000
Челябинская область	3474110	75.8	-0.3	1600000	36000
Омская область	1805806	72.1	-0.4	800000	32000
Республика Дагестан	3259890	60.5	0.6	1500000	30000
Красноярский край	2837374	75.0	0.0	1300000	37000
Ставропольский край	2738369	59.9	0.3	1200000	33000
Самарская область	3313795	64.2	0.1	1500000	36000
Волгоградская область	2434046	79.4	-0.2	1200000	34000
Саратовская область	2289678	58.3	-0.3	900000	32000
Республика Ингушетия	534491	52.4	0.8	250000	28000
Тюменская область	1502656	75.0	0.2	900000	38000
Республика Крым	1909499	50.2	-0.1	850000	33000
Ленинградская область	2059479	65.4	0.0	1300000	35000
Приморский край	1922813	72.0	0.1	1000000	34000
Ханты-Мансийский автономный округ	1615938	90.1	1.5	1400000	50000
Белгородская область	1540486	67.8	0.2	700000	33000
Чеченская Республика	1514603	50.5	1.3	600000	28000
Удмуртская Республика	1448922	70.0	-0.1	700000	32000
Тульская область	151214	77.0	0.0	60000	33000
Владимирская область	1297936	80.3	-0.2	600000	34000
Хабаровский край	1272764	75.3	-0.3	500000	33000
Пензенская область	1261103	65.9	0.0	500000	31000
Тверская область	1226038	70.2	-0.2	550000	33000
Ярославская область	1205637	68.5	-0.3	520000	33000
Ульяновская область	1191661	63.4	-0.2	500000	32000
Чувашская Республика	1183908	64.0	-0.1	490000	31000
Брянская область	1164635	72.0	-0.4	450000	30000
Кировская область	1120178	79.0	-0.3	500000	31000
Вологодская область	1140842	74.0	-0.2	520000	31000
Липецкая область	1138140	65.0	-0.1	470000	30000
Кабардино-Балкарская Республика	908214	51.7	0.1	400000	29000
Калининградская область	1032904	76.6	-0.2	550000	33000
Калмыкия	267588	46.6	0.9	120000	28000
Калужская область	1066601	75.5	-0.1	500000	32000
Камчатский край	287949	79.1	-0.5	120000	31000
Карачаево-Черкесская Республика	468531	41.4	0.4	200000	29000
Республика Карелия	518950	81.5	-0.3	250000	30000
Кемеровская область	2526384	88.7	-0.1	1200000	35000
Республика Коми	714785	79.7	-0.4	300000	31000
Курская область	1049783	70.3	-0.3	500000	30000
Магаданская область	134544	97.4	-0.6	50000	35000
Республика Марий Эл	666202	69.6	0.0	300000	31000
Мурманская область	664435	80.5	-0.5	300000	32000
Новгородская область	566960	74.9	-0.3	250000	30000
Оренбургская область	1816898	61.0	-0.2	900000	33000
Орловская область	757255	69.0	-0.3	300000	30000
Псковская область	636546	74.0	-0.4	250000	30000
Республика Саха (Якутия)	964578	67.3	0.1	400000	32000
Рязанская область	1198005	73.0	-0.2	500000	31000
Сахалинская область	466368	80.5	0.0	200000	33000
Смоленская область	965959	74.0	-0.5	400000	30000
Тамбовская область	1298728	65.0	-0.3	500000	30000
Томская область	1061055	75.0	0.0	500000	33000
Тувинская Республика	328609	60.0	0.5	120000	29000
Чукотский автономный округ	50 526	90.0	-0.2	20000	40000
Ямало-Ненецкий автономный округ	537513	89.5	1.0	400000	45000
Еврейская автономная область	144428	73.3	-0.4	50000	32000
Забайкальский край	983838	70.4	0.0	400000	31000
Алтайский край	2268179	34.5	0.1	1000000	34000
Амурская область	772525	65.0	-0.2	300000	31000
Архангельская область	1114322	75.0	-0.3	500000	32000
Астраханская область	964580	65.0	0.0	400000	32000
Республика Адыгея	500591	48.7	0.3	200000	30000
Республика Алтай	210099	45.0	0.2	80000	29000
