sample_id,label,dataset_source,owner,repo,repo_key,vulnerable_hash,file_name,raw_url,patch_signif,patch_count,path_depth,path_len,filename_len,token_count_in_path,raw_url_len,is_test_like,is_internal_path,is_pkg_path,is_cmd_path,has_auth_kw,has_crypto_kw,has_network_kw,has_storage_kw,has_parser_kw,has_input_kw,has_exec_kw,has_security_kw,repo_rows_in_dataset,owner_rows_in_dataset,files_in_same_fix_commit,rows_in_same_dir_in_dataset,same_file_occurrences_in_dataset,repo_positive_ratio_in_dataset
da774d86f765,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,internal/graph/check.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/internal%2Fgraph%2Fcheck.go,"['@@ -45,7 +45,9 @@']",1,2,23,8,4,107,0,1,0,0,0,0,0,0,0,0,0,0,28,28,23,5,1,1.0
9fad16ac21ae,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,internal/graph/errors.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/internal%2Fgraph%2Ferrors.go,"['@@ -122,3 +122,15 @@']",1,2,24,9,4,108,0,1,0,0,0,0,0,0,0,0,0,0,28,28,23,5,1,1.0
ca9fb44ee741,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,internal/graph/lookup.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/internal%2Fgraph%2Flookup.go,"['@@ -46,6 +47,10 @@', '@@ -115,9 +120,7 @@', '@@ -206,6 +209,46 @@']",3,2,24,9,4,108,0,1,0,0,0,0,0,0,0,0,0,0,28,28,23,5,1,1.0
d33837a13280,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,internal/membership/foundsubject.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/internal%2Fmembership%2Ffoundsubject.go,"['@@ -0,0 +1,142 @@']",1,2,35,15,4,119,0,1,0,0,0,0,0,0,0,0,0,0,28,28,23,6,1,1.0
9fa4007aa783,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,internal/membership/foundsubject_test.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/internal%2Fmembership%2Ffoundsubject_test.go,"['@@ -0,0 +1,62 @@']",1,2,40,20,5,124,1,1,0,0,0,0,0,0,0,0,0,0,28,28,23,6,1,1.0
11a1ebb11c94,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,internal/membership/membership.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/internal%2Fmembership%2Fmembership.go,"['@@ -0,0 +1,140 @@']",1,2,33,13,4,117,0,1,0,0,0,0,0,0,0,0,0,0,28,28,23,6,1,1.0
ded599731781,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,internal/membership/membership_test.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/internal%2Fmembership%2Fmembership_test.go,"['@@ -0,0 +1,383 @@']",1,2,38,18,5,122,1,1,0,0,0,0,0,0,0,0,0,0,28,28,23,6,1,1.0
9e39b5c22d67,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,internal/membership/trackingsubjectset.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/internal%2Fmembership%2Ftrackingsubjectset.go,"['@@ -0,0 +1,185 @@']",1,2,41,21,4,125,0,1,0,0,0,0,0,0,0,0,0,0,28,28,23,6,1,1.0
39ae7350d951,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,internal/membership/trackingsubjectset_test.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/internal%2Fmembership%2Ftrackingsubjectset_test.go,"['@@ -0,0 +1,342 @@']",1,2,46,26,5,130,1,1,0,0,0,0,0,0,0,0,0,0,28,28,23,6,1,1.0
2177b32c7528,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,internal/services/consistency_test.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/internal%2Fservices%2Fconsistency_test.go,"['@@ -133,18 +133,36 @@', '@@ -241,12 +259,18 @@', '@@ -263,11 +287,18 @@', '@@ -325,20 +357,17 @@', '@@ -619,38 +649,76 @@']",5,2,37,19,5,121,1,1,0,0,0,0,0,0,0,0,0,0,28,28,23,1,1,1.0
