file,hash,date,author,message,is_vuln,file_commits,unique_authors,file_age_days,security_touch_ratio,loc,func_cnt,ccn,avg_ccn,max_ccn,token_count,avg_params
django\conf\urls\static.py,610876661ecdfbc1a3ca3c5458e1801313501c77,2017-02-22,Anton Samarchyan,Fixed typos in code comments.,0,9,6,2200,0.0,13,1,4,4.0,4,113,3.0
tests\schema\tests.py,34b411762b50883d768d7b67e0a158ec39da8b09,2023-10-30,Tom Carrick,"Fixed #34932 -- Restored varchar_pattern_ops/text_pattern_ops index creation when deterministic collaction is set.

Regression in f3f9d03edf17ccfa1726",0,250,75,3845,0.0,4290,241,432,1.793,13,19233,1.187
django\contrib\formtools\tests\wizard\wizardtests\tests.py,c4c2c99669ef9d58306856c47058b121bbecfe5f,2014-05-30,Florian Apolloner,Fixed #19905 -- Fixed leakage of file descriptors in form wizard.,0,16,10,1021,0.0,349,26,28,1.077,2,1753,1.231
tests\urlpatterns_reverse\tests.py,c1874176114cd94efcc58e3c449f4e2a116881a1,2024-03-04,Adam Johnson,Refs #9847 -- Added tests for handler403 resolution.,0,124,50,4023,0.0484,1507,102,140,1.373,5,5933,1.0
tests\gis_tests\distapp\tests.py,aaacaeb0963c406c4fe6f68c6ae51f4a65878250,2015-06-24,Tim Graham,"Renamed RemovedInDjangoXYWarnings for new roadmap.

Forwardport of ae1d663b7913f6da233c55409c4973248372d302
from stable/1.8.x plus more.",0,9,3,133,0.0,370,24,84,3.5,10,3385,1.042
django\middleware\csrf.py,720888a14699a80a6cd07d32514b9dcd5b1005fb,2013-02-07,Aymeric Augustin,"Fixed #15808 -- Added optional HttpOnly flag to the CSRF Cookie.

Thanks Samuel Lavitt for the report and Sascha Peilicke for the patch.",1,29,10,1199,0.6897,114,8,25,3.125,13,900,1.875
django\contrib\auth\management\__init__.py,d1bab24e0144d14513a1411503c95ececb425188,2017-01-26,Vytis Banaitis,"Refs #23919, #27778 -- Removed obsolete mentions of unicode.",0,62,20,3154,0.0,82,5,22,4.4,10,514,1.8
django\utils\translation\trans_real.py,e5e044da87800feb6ef63fef1765d8c05022d926,2013-11-05,Bouke Haarsma,"Fixed #18419 -- Full backwards compatibility for old language codes

Improved documentation about zh-* deprecation and upgrade path.

Thanks to Baptis",0,90,21,2681,0.0222,463,36,152,4.222,51,2817,1.528
tests\regressiontests\handlers\tests.py,ba585a2c6dbbbc918f5ceffd54eb31212bca85ef,2011-01-14,Andrew Godwin,"Fixed #11193 -- WSGI handler not properly handling lock on error in load_middleware. Thanks to Phillip Sitbon.

git-svn-id: http://code.djangoproject.",0,0,0,0,0.0,15,1,2,2.0,2,84,1.0
django\conf\locale\id\formats.py,550357771b592568399eda08556bb2a749da69fe,2019-12-30,Aldian Fazrihady,Refs #30819 -- Prioritized the date format with four-digit year for the Indonesian (id) locale.,0,10,8,3521,0.0,39,0,0,0.0,0,305,0.0
