loc,func_cnt,ccn,avg_ccn,max_ccn,token_count,avg_params,file_commits,unique_authors,file_age_days,security_touch_ratio,is_vuln
13,1,4,4.0,4,113,3.0,9,6,2200,0.0,0
4290,241,432,1.793,13,19233,1.187,250,75,3845,0.0,0
349,26,28,1.077,2,1753,1.231,16,10,1021,0.0,0
1507,102,140,1.373,5,5933,1.0,124,50,4023,0.0484,0
370,24,84,3.5,10,3385,1.042,9,3,133,0.0,0
114,8,25,3.125,13,900,1.875,29,10,1199,0.6897,1
82,5,22,4.4,10,514,1.8,62,20,3154,0.0,0
463,36,152,4.222,51,2817,1.528,90,21,2681,0.0222,0
15,1,2,2.0,2,84,1.0,0,0,0,0.0,0
39,0,0,0.0,0,305,0.0,10,8,3521,0.0,0
770,86,145,1.686,19,5192,1.012,63,12,1816,0.127,0
297,53,54,1.019,2,1292,1.0,16,12,2313,0.125,1
1931,162,601,3.71,27,10522,2.222,602,174,6972,0.0,0
5,0,0,0.0,0,30,0.0,1,1,117,0.0,0
282,38,111,2.921,13,2032,1.658,99,42,3337,0.0101,0
414,34,34,1.0,1,1754,1.0,77,18,1485,0.0519,0
1132,41,41,1.0,1,7341,1.0,10,5,475,0.0,0
914,98,307,3.133,16,4870,2.122,43,11,821,0.0,0
122,15,35,2.333,16,992,0.8,8,6,1222,0.0,0
443,40,49,1.225,3,1929,1.025,2,1,33,0.0,0
68,1,26,26.0,26,572,1.0,0,0,0,0.0,0
252,26,87,3.346,10,1786,3.308,40,5,480,0.0,0
178,15,16,1.067,2,978,1.133,4,3,416,0.0,0
28,2,2,1.0,1,106,1.0,0,0,0,0.0,0
137,10,10,1.0,1,972,1.0,1,1,10,0.0,0
643,53,73,1.377,6,2339,1.057,36,28,3510,0.0,0
430,42,59,1.405,4,2909,1.429,8,5,56,0.0,0
193,34,35,1.029,2,1254,1.029,30,9,1211,0.5667,1
372,28,90,3.214,24,2632,2.107,20,6,1019,0.0,0
938,89,263,2.955,13,5742,2.506,230,56,3567,0.0565,1
992,85,106,1.247,7,6166,1.188,122,57,2624,0.0246,0
51,4,14,3.5,10,288,2.25,1,1,0,0.0,1
258,6,63,10.5,30,1313,2.5,94,21,1800,0.0,0
228,21,58,2.762,9,1500,2.429,38,20,2605,0.0,0
9,0,0,0.0,0,24,0.0,1,1,1,0.0,0
57,3,3,1.0,1,262,1.0,2,2,416,0.0,0
67,7,10,1.429,3,288,1.0,14,7,2585,0.0,0
612,65,192,2.954,14,4563,2.308,70,8,1158,0.0,0
141,17,48,2.824,8,1307,1.294,50,22,2774,0.14,0
303,47,51,1.085,3,1263,1.085,49,26,1396,0.0,0
786,86,101,1.174,5,7099,1.058,7,3,91,0.0,0
11,2,2,1.0,1,82,1.0,6,5,1308,0.0,0
184,16,27,1.688,6,993,1.0,28,18,1452,0.2143,1
196,42,42,1.0,1,1090,1.0,7,5,230,0.0,1
13,0,0,0.0,0,35,0.0,0,0,0,0.0,0
136,18,39,2.167,6,968,2.389,28,4,1345,0.0357,0
400,74,76,1.027,2,2340,1.311,40,27,2679,0.1,0
175,9,72,8.0,26,1379,2.333,46,9,441,0.0,0
135,28,28,1.0,1,787,1.0,6,5,169,0.0,0
13,2,2,1.0,1,73,1.0,6,4,396,0.0,0
210,14,32,2.286,7,1032,1.357,90,17,3914,0.0,0
333,16,101,6.312,20,3217,3.0,2,2,35,0.0,0
566,58,145,2.5,19,3090,2.586,101,40,2867,0.0,0
210,12,47,3.917,10,1970,1.083,31,14,2215,0.0,0
518,28,147,5.25,26,2595,1.786,119,34,3120,0.0,0
1239,67,81,1.209,4,6291,1.03,65,34,2695,0.0,0
636,80,187,2.337,14,3196,1.625,186,64,5986,0.0269,0
884,96,114,1.188,5,4734,1.562,74,32,3068,0.6757,1
1821,113,614,5.434,43,12403,2.469,568,129,6095,0.0088,0
293,33,101,3.061,13,2064,1.364,158,39,4084,0.0127,0
627,126,205,1.627,9,6054,1.929,255,37,3146,0.0,0
17,0,0,0.0,0,31,0.0,2,2,2548,0.0,0
591,39,41,1.051,2,2823,0.974,46,23,4282,0.0,0
187,19,70,3.684,7,1082,2.579,35,18,2575,0.0,0
180,17,54,3.176,24,1386,1.588,59,19,2870,0.0,1
240,27,54,2.0,7,1348,1.815,18,8,1915,0.0,0
6,1,1,1.0,1,28,2.0,4,4,2640,0.0,0
5,1,1,1.0,1,32,3.0,1,1,63,0.0,0
42,5,5,1.0,1,221,1.0,7,5,1673,0.0,0
310,32,68,2.125,7,1465,3.062,13,3,580,0.0,0
738,89,257,2.888,14,3897,1.91,8,6,155,0.0,0
122,9,30,3.333,11,646,1.556,41,24,6425,0.0244,1
80,3,3,1.0,1,327,1.333,6,4,1475,0.0,1
272,25,85,3.4,12,1873,1.72,87,39,4293,0.6782,1
74,6,21,3.5,11,516,2.167,31,3,1130,0.0,0
19,2,2,1.0,1,346,1.0,0,0,0,0.0,0
2182,199,235,1.181,10,14463,1.05,127,16,1048,0.0551,0
121,10,28,2.8,6,716,2.3,27,12,1137,0.0,0
1,0,0,0.0,0,38,0.0,1,1,827,0.0,0
230,24,77,3.208,8,1442,2.917,37,3,903,0.0,0
69,10,10,1.0,1,416,1.7,1,1,21,0.0,0
352,14,14,1.0,1,2158,1.0,14,8,851,0.0,0
671,26,29,1.115,2,3804,1.0,31,21,1299,0.0,0
333,38,89,2.342,9,2273,1.921,112,13,2273,0.0089,0
68,9,11,1.222,3,304,1.0,6,4,933,0.0,0
152,15,41,2.733,8,601,1.0,59,23,4674,0.0,0
150,12,44,3.667,8,1094,2.167,23,4,1222,0.0,0
77,7,7,1.0,1,388,1.0,8,3,2640,0.0,0
41,4,4,1.0,1,277,1.5,42,15,2818,0.0,0
378,77,127,1.649,12,2835,1.532,43,11,2405,0.0,0
564,40,120,3.0,9,3705,1.0,0,0,0,0.0,0
55,0,0,0.0,0,236,0.0,23,16,3131,0.3043,1
65,9,26,2.889,5,481,2.333,15,5,1900,0.2667,1
3479,327,365,1.116,5,18707,1.018,210,74,3285,0.0,0
11,0,0,0.0,0,115,0.0,6,3,915,0.0,1
925,79,99,1.253,7,5839,1.203,103,50,1564,0.0194,0
17,0,0,0.0,0,84,0.0,15,8,3157,0.0,0
50,7,7,1.0,1,1181,1.0,6,4,726,0.0,0
833,87,102,1.172,4,4397,1.333,68,31,3044,0.6471,1
30,2,2,1.0,1,181,1.0,8,4,776,0.0,1
13,1,5,5.0,5,79,1.0,19,8,3033,0.0,0
249,14,82,5.857,30,1169,2.643,41,18,2051,0.0,0
33,3,3,1.0,1,130,1.0,2,2,1309,1.0,0
755,66,82,1.242,7,5172,1.167,26,17,249,0.0385,0
517,66,152,2.303,14,2728,2.152,120,62,4784,0.0583,1
4,0,0,0.0,0,286,0.0,3,3,812,0.0,1
220,32,88,2.75,15,1446,2.25,87,34,4427,0.0,0
188,9,9,1.0,1,1335,1.0,1,1,72,0.0,0
813,51,56,1.098,3,3428,1.255,21,9,716,0.0,0
222,15,77,5.133,19,1870,1.6,98,20,2331,0.0,0
42,2,2,1.0,1,314,2.0,9,6,830,0.0,0
494,16,76,4.75,13,2470,3.312,288,61,5791,0.0174,0
159,9,30,3.333,13,548,1.444,50,29,6881,0.0,0
275,13,86,6.615,15,1624,2.769,170,40,4127,0.0294,0
1076,85,177,2.082,9,6809,1.071,72,14,1916,0.0,0
603,69,83,1.203,5,3958,1.377,80,39,2935,0.0,0
176,29,42,1.448,3,1119,1.276,16,13,750,0.0,0
13,1,1,1.0,1,82,4.0,1,1,94,0.0,0
289,36,79,2.194,8,1493,2.611,79,28,2695,0.0127,1
1232,83,317,3.819,32,7528,3.0,218,37,1901,0.0505,0
2933,178,201,1.129,3,13005,1.079,180,71,4643,0.0056,0
545,64,103,1.609,5,3510,1.062,11,5,83,0.0,0
242,18,24,1.333,3,1721,1.556,21,16,1567,0.0,0
455,61,78,1.279,8,2655,1.393,14,9,579,0.0,1
2739,273,319,1.168,5,16831,1.029,81,29,657,0.0,0
281,26,84,3.231,13,1698,3.0,61,19,3341,0.0,0
77,11,19,1.727,4,292,2.545,1,1,44,0.0,0
581,62,75,1.21,5,2737,1.048,49,24,2228,0.0,0
107,15,34,2.267,6,798,1.867,5,3,1216,0.0,0
448,60,73,1.217,5,2911,1.017,26,16,469,0.0,0
1260,71,84,1.183,4,4368,1.183,7,6,857,0.0,0
2026,110,131,1.191,4,9016,1.027,190,74,3351,0.0158,0
36,9,9,1.0,1,159,2.444,12,9,1422,0.0833,0
118,4,6,1.5,3,874,1.5,5,4,622,0.0,0
1038,121,356,2.942,18,7476,2.405,187,24,2518,0.0,0
112,11,15,1.364,4,513,2.091,2,2,122,0.0,0
183,37,40,1.081,2,807,1.054,27,22,3566,0.0,0
18,6,7,1.167,2,97,1.667,1,1,249,0.0,0
493,16,76,4.75,13,2466,3.312,287,61,5791,0.0174,0
