phish_attachment,phish_link,social_contact,macro_exec,powershell_exec,signed_binary_proxy,dll_sideload,scheduled_task,new_service,credential_access,valid_accounts_use,smb_lateral,rdp_lateral,ssh_lateral,network_discovery,defense_evasion,packed_payload,c2_beaconing,cloud_exfil,crypto_targeting,failed_login_burst,outbound_conn_count,rare_parent_child_score,offhours_activity_score,archive_attachment_kb,script_chain_depth,target
0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,3,11,0.526,0.139,802,2,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,8,15,0.094,0.136,841,1,0
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,16,0.195,0.051,582,2,0
1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,10,0.1,0.247,217,3,0
1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,6,20,0.811,0.309,509,3,1
1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,3,17,0.502,0.249,802,2,0
1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,4,24,0.632,0.908,1375,3,1
1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,10,0.328,0.513,707,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,21,0.265,0.083,101,3,0
0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,5,10,0.373,0.199,497,2,0
1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,4,15,0.693,0.482,787,7,1
1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,13,0.265,0.479,489,2,0
0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,6,19,0.819,0.172,496,3,1
0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,15,0.202,0.388,779,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,18,0.13,0.166,848,2,0
1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,6,31,0.394,0.766,1234,4,1
1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,5,13,0.153,0.463,823,2,0
0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,6,15,0.668,0.623,702,6,1
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,12,0.238,0.496,975,1,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,13,0.188,0.248,854,1,0
0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,11,0.312,0.189,926,2,0
1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,24,0.741,0.812,2183,6,1
1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,5,17,0.913,0.643,2119,2,1
1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2,15,0.254,0.405,97,3,0
0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,2,9,0.245,0.212,824,1,0
1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,4,20,0.862,0.684,286,2,1
0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,4,8,0.204,0.183,913,3,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,18,0.094,0.027,608,3,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,19,0.266,0.155,97,3,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,19,0.216,0.189,116,2,0
0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,4,30,0.364,0.424,2269,4,1
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,15,0.127,0.176,355,3,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,15,0.389,0.126,536,3,0
1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,10,24,0.971,0.863,2057,6,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,16,0.042,0.044,987,1,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,15,0.625,0.393,967,1,0
1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,15,0.277,0.312,880,2,0
0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,9,0.529,0.273,559,2,0
0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,3,15,0.284,0.663,486,2,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,9,0.085,0.175,885,2,0
1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,12,18,0.955,0.491,1828,3,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,3,10,0.139,0.101,676,2,0
0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,16,0.133,0.077,818,2,0
1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,7,25,0.279,0.602,1184,7,1
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,16,0.558,0.502,741,2,0
1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,6,21,0.557,0.679,817,2,1
