lines,functions,complexity,commits,developers,label
495,5,7.664345080342317,40,9,1
174,3,1.405358904674971,4,10,1
349,7,6.694917516325099,13,9,1
497,1,9.004858367772497,34,6,1
440,17,8.165626889962592,18,1,1
119,10,5.019019725938053,27,6,1
481,9,5.585574488043661,43,4,1
60,20,4.0272625220333005,22,1,1
441,15,1.5691272503528384,5,8,1
453,18,8.215560930926403,37,9,1
204,18,2.3425494584047115,12,7,1
156,12,1.292918157717392,13,8,1
425,6,5.601591640307251,20,1,1
174,14,9.114336667257756,31,7,1
82,14,6.7579072995526985,26,10,1
311,4,2.807845367849139,25,4,1
496,18,5.787630215291716,18,8,1
168,2,3.306479326253276,37,5,1
338,14,5.943896308407333,3,6,1
85,4,9.030559310273501,20,9,1
76,3,4.121279908010313,25,3,1
157,11,9.167908616185994,18,2,1
66,20,9.993746996267273,18,3,1
457,7,2.3699585083524886,18,7,1
106,12,6.887713000387642,21,4,1
407,11,2.29706599901469,11,2,1
383,5,7.183060061694382,7,4,1
411,10,7.736028906769942,48,6,1
49,9,1.6010937692594556,10,1,1
301,17,9.20820323240359,36,3,1
316,6,2.8461508792117938,17,6,1
324,4,1.5322139545427227,36,1,1
485,7,2.7912152589586103,29,2,1
272,9,8.073743785760591,6,10,1
244,17,8.378656590953797,5,2,1
79,16,2.3161637078136534,23,4,1
137,12,4.176373790912382,1,1,1
271,8,8.196263567619331,3,8,1
103,16,4.513662668145396,46,6,1
357,10,7.158610206119331,5,3,1
241,19,7.984178515296657,32,5,1
478,6,4.801976159653851,42,4,1
163,2,1.7810009836599252,11,8,1
447,13,2.8441901633751447,23,7,1
227,4,9.093030328177276,19,4,1
231,12,9.001219353959732,22,1,1
249,16,9.331781258662076,19,7,1
307,19,6.091172330040231,38,2,1
266,18,9.575267060657245,47,10,1
336,8,8.876371397364966,15,9,1
378,5,8.850721299727889,36,2,1
431,9,2.013223051324565,29,8,1
482,13,6.6229049401696845,5,7,1
119,14,6.450598400381043,25,8,1
461,2,1.7544158436444675,14,5,1
37,19,2.554293927841182,38,3,1
133,8,6.134076309169427,5,2,1
379,15,8.939003854915306,25,7,1
190,3,2.1660505001300825,12,8,1
121,16,7.566895692296064,22,1,1
215,2,6.02234387531286,30,5,1
133,17,6.060874126567628,41,3,1
433,3,1.2407065087906626,44,6,1
121,20,5.450579915296093,36,3,1
205,18,6.35675320267271,24,6,1
240,8,8.587954822704837,47,7,1
309,7,4.7164237910221845,2,10,1
404,15,2.817044990700962,16,4,1
415,20,2.9551653920326153,45,7,1
89,9,4.651852678661473,31,9,1
331,16,6.919231467792123,27,5,1
75,16,4.910092473408122,25,2,1
339,16,9.746421090964795,48,9,1
464,3,6.044572331628006,16,7,1
449,10,1.4800075327662428,19,7,1
39,4,1.7445267034472487,12,9,1
229,20,4.1755613901597926,5,10,1
491,3,2.8060342256855515,2,1,1
387,16,4.425799683805702,26,10,1
471,11,7.099372077984915,14,10,1
403,2,2.5908095559296407,50,8,1
172,3,6.470315769789583,36,5,1
446,9,1.0418365738797069,45,8,1
254,15,4.348048710512828,38,7,1
180,4,1.3857125127441807,10,7,1
396,6,6.229331016394941,29,10,1
50,6,1.1880245817481156,29,10,1
418,18,6.6695306736543944,38,7,1
43,14,8.550544352279978,37,6,1
210,4,7.932278545257639,36,8,1
214,2,2.4887092737726095,27,8,1
210,1,7.502519954240835,49,6,1
184,18,5.369695243015385,14,10,1
495,19,2.865145717698991,49,9,1
496,1,9.097113486653445,4,7,1
348,18,9.34031015489829,7,1,1
417,5,4.675488696605224,50,9,1
57,10,4.568405904603917,7,7,1
444,19,3.9466618264275257,14,2,1
479,5,3.9826634696158663,2,7,1
220,5,9.033397920162937,49,8,1
169,6,2.7589632250810787,33,1,1
156,8,4.6015457334551755,35,2,1
481,13,4.634047091126289,42,2,1
205,12,6.115840752715771,1,7,1
57,1,7.273473851276015,27,4,1
273,14,8.90830391480117,27,7,1
317,3,5.960059157860663,47,7,1
73,7,3.6082826115346864,29,9,1
219,15,7.6977053711202545,46,6,1
238,5,8.756466980542513,18,3,1
248,16,5.053684067299336,38,4,1
263,4,5.735385642557181,34,4,1
339,16,2.215941108541479,35,2,1
449,12,8.38288664330383,47,9,1
